ID,a,h,AIC,BIC
40021,2.80779403941e-05,1280.11714181,-346.258990798,-344.370112839
40022,0.0,3710.86906923,-333.090365722,-331.201487764
40023,4.4019770018e-05,8.15737566384e-09,-99.6231594415,-99.7313391434
40024,9.53614966028e-05,1.67246141056,-105.883803547,-105.991983249
40025,1.8076496249e-05,7.24499431337e-07,-163.104260932,-162.308470386
40026,4.25761912892e-05,16.4772188155,-95.444587696,-95.5527673979
40027,0.000355032105065,3.22330563107,-112.058763595,-111.66431444
40028,0.0,49.4819230481,-65.2322250634,-65.3404047653
40029,7.25419028618e-05,199.247056702,-137.985869189,-137.380699003
40030,8.12612163825e-05,80.1721856695,-79.0119812427,-79.4284623042
40031,6.54039160817e-05,1126.94554919,-182.042753189,-181.437583003
40032,0.0,3085.09416261,-109.235610655,-109.343790357
40033,0.220726091241,4.45416742129,-231.79035277,-228.315013533
40034,9.0575519307e-08,1.68036245893e-05,-369.991881017,-369.196090471
40035,1.58344170482,0.013153269971,172.388552666,174.826304316
40036,2.08404592964,0.000869448764658,264.93222189,267.288329551
40037,0.162436618928,0.019436074981,111.119634866,113.208679741
40038,0.426923678065,1.26500909103,-165.738349479,-162.745334356
40039,0.379655086388,1.6661457699,-180.192305205,-177.139584155
40042,0.000105702893618,238.274907322,-1167.27410165,-1162.31942803
40043,4.04434918815e-05,302.069324644,-1250.5731779,-1245.61850427
40044,0.00202221222857,4.21198751006,-47.6089714218,-48.3900955969
40045,0.00045003875985,34.5508869065,-296.793996472,-294.20232274
40046,0.000875204624516,41.2307719236,-240.474817266,-238.203828834
40047,1.05694567032e-05,593.634796692,-1378.64925506,-1374.06833618
40048,1.32668506461e-05,139.246042774,-1213.20311526,-1208.6777555
40049,1.32293872372e-05,286.234360745,-865.241961934,-861.499559912
40050,0.0855252876358,0.827328486468,-291.323870002,-285.412215887
40051,0.0567752657386,1.46061737432,-222.28165493,-216.97373423
40052,1.46011075526e-05,2595.73390348,-1472.9745467,-1468.47755621
40053,1.45534199829e-05,2511.16165733,-1483.19057046,-1478.69357998
40054,1.0987237665e-05,4328.65268258,-1451.57551058,-1447.0785201
40055,8.47944627802e-06,6911.49150452,-1518.69944608,-1514.2024556
40056,5.68214976464e-05,18227.0928851,-114.440986492,-115.222110667
40057,0.000139254614447,527.461977296,-111.057318981,-111.473800043
40058,0.000171422102604,1626.57761824,-64.4055505578,-65.6329618356
40059,0.000157133177586,868.334282961,-164.672835778,-164.278386623
40060,7.93568083099e-05,557.357028919,-92.3419863739,-93.123110549
40061,3.64304858387e-05,2402.02077696,-155.851461903,-155.69257882
40062,1.21589305546e-05,1634.83197047,-160.98791254,-160.829029457
40063,3.51860762748e-11,0.000139526648895,-442.877635606,-441.211208918
40064,0.000105261574974,146.844440352,-235.752152769,-234.085726081
40065,2.83576262812e-05,170.954052351,-311.251187245,-309.162142369
40066,8.31614227443e-05,1.25922971383e-07,-173.739395582,-172.194218137
40067,4.91237808826e-05,6.02040561848e-08,-270.460399087,-268.022647438
40068,0.0383555766141,43.7284809799,-59.1141055066,-59.5305865681
40069,0.22111290602,32.339625855,-52.4528753235,-52.869356385
40070,0.0,19.5489644584,-31.3746077677,-31.7910888292
40071,0.16605047163,13.6423599493,-46.3421787393,-46.7586598008
40072,0.0284807474239,9.24126714456,-45.7423793197,-46.1588603812
40073,0.0217392568035,10.9805024983,-44.2522884372,-44.6687694988
40074,0.0271900356887,13.3472758769,-47.1025488935,-47.519029955
40075,0.0141586222204,26.8521297103,-55.2573217104,-55.6738027719
40076,0.0117714742158,11.004513287,-47.039690631,-47.4561716925
40077,0.00086154023902,1449.54014597,-91.2704301986,-91.6869112601
40078,0.0,278.494851298,-68.7844595986,-69.2009406602
40079,0.00427590685572,220.557901508,-74.5977508766,-75.0142319382
40080,0.000536001424794,101.831504103,-70.7976305734,-71.2141116349
40081,0.000365093963393,40.564672353,-77.5281822719,-77.9446633334
40082,0.000391843774896,27.6793145106,-65.4043095932,-65.8207906548
40083,0.000333137584405,23.2470958833,-59.6812480977,-60.0977291592
40084,0.000291089754599,20.5625840379,-60.7262262776,-61.1427073391
40085,0.000323148503581,29.6062949239,-63.2302790788,-63.6467601404
40086,0.00029077830522,18.1157704964,-69.4796956293,-69.8961766908
40087,0.000144873410193,20.1974395179,-69.1917004376,-69.6081814992
40088,9.62646924929e-05,380.134898585,-96.7895208115,-97.2060018731
40089,3.1597660302e-05,6.94136489621e-07,-89.0382949384,-89.454776
40090,4.5234858975e-05,97.6536559332,-90.7042573439,-91.1207384054
40091,0.000892358337304,617.565569678,-87.7089692367,-88.1254502983
40092,6.934790508e-05,341.933731209,-90.5200090698,-90.9364901313
40093,9.02868803809e-05,318.290740708,-94.0149769839,-94.4314580454
40094,4.81309692477e-05,1.73274390391e-08,-88.5283843018,-88.9448653633
40095,5.95627793563e-05,157.078629823,-86.5062505666,-86.9227316281
40096,6.94441163478e-05,229.278747912,-97.0246099128,-97.4410909743
40097,2.43354119243e-05,135.814963284,-102.722422698,-103.13890376
40098,0.0,20602.2789761,-498.311708266,-495.955600605
40099,1.00251401782e-05,7670.57638118,-828.745883206,-825.368124298
40100,3.64153412669e-06,46045.8290194,-919.301412361,-915.923653453
40101,1.51508392161e-05,36942.9996134,-1648.14249099,-1643.58915875
40102,4.59661483077e-06,0.395651373533,-241.969328496,-236.739087462
40103,2.44842357056e-07,35811.3732585,-190.425241767,-190.266358683
40104,3.71962144641e-07,65959.3616059,-207.367741746,-207.208858663
40105,4.71337014796e-06,4467.75892586,-139.306801515,-139.723282576
40106,2.52452711313e-06,32996.2645314,-125.686833322,-126.467957497
40107,2.56532373122e-07,5.56314690536e-07,-148.111474889,-148.892599064
40108,0.0,7.45522144416,-502.120708399,-497.834438947
40109,0.0,15.7151377846,-591.969347839,-587.472357355
40110,0.0,24.9828335835,-657.738570155,-653.185237917
40111,8.35406045849e-05,281.690538227,-92.5638383172,-92.9803193788
40112,0.0685530091646,0.959759730592,-17.9319279022,-18.7130520773
351,0.000506520519493,1.66865632423e-09,-46.7050087652,-44.6159638898
814,7.51330863902e-06,573.764286706,-157.938184281,-157.543735126
71,1.37507765372e-05,1474.97073053,-110.635975935,-111.052456996
445,9.17868307138e-07,1.41254764419e-06,-95.3925589589,-96.6199702367
3,1.21496117735e-05,3036.41209362,-91.6472047646,-92.8746160424
2,5.23049387824e-06,2894.61020447,-83.3366603046,-84.5640715823
450,9.16940676565e-06,14142.1442474,-146.953767497,-147.370248558
140,0.00228167011762,3.32544395474,-51.1152364427,-51.5317175042
79,1.87296768943e-05,2028.04690742,-205.263453812,-204.658283626
713,3.37157648287e-05,5861.78615329,-626.508286477,-623.640312068
708,2.60175248423e-05,2903.99430226,-105.563234605,-106.34435878
920,0.0252753419222,1.01327595724,-30.9702367915,-31.386717853
721,6.45757582873e-06,74282.3632093,-163.453267534,-163.869748596
687,1.99606892264e-05,7560.71229083,-1299.20530456,-1295.01661544
691,1.23385549917e-05,4051.69896101,-1241.35288761,-1237.16419848
6,7.9339390211e-06,2534.27480526,-620.823827652,-617.892355847
695,6.63861351862e-05,242.235988329,-93.8545952909,-94.6357194661
40114,0.0,3895.20792904,-90.0235742187,-90.8046983938
40115,0.0258519180572,5.10873401376,-38.7958349547,-39.2123160163
40116,0.056217711593,2.26308501027,-31.5973450719,-32.0138261335
40117,0.0354360531962,1.33651029957,-32.1194408683,-32.5359219299
40118,0.0186040716985,5.65647926345,-44.9827753151,-45.3992563767
40119,0.0285395938356,1.85682313198,-40.9703019477,-41.3867830092
40120,0.0262652662923,1.26287753697,-34.667917145,-35.0843982066
40121,0.00193909072309,5.51076289702,-69.1119375866,-69.5284186481
40122,0.0,6127.75630021,-600.348605086,-597.546210322
40123,0.00164524295729,91.2223271597,-75.7689784745,-76.1854595361
40124,0.000435888155606,112.796930513,-82.9333976382,-83.3498786997
40125,6.02163330088e-07,76946.019238,-494.287119743,-492.198074867
40126,2.13955819728e-07,22216.3262866,-461.438691873,-459.349646997
40127,2.94372370302e-06,25379.2516611,-353.603477516,-352.058300071
40128,0.00237524534736,2.00659668032,-37.2101001025,-37.3182798044
40129,0.00101145609361,0.240152181526,-32.8805942776,-32.7217111943
40130,0.0623184704196,0.520931541255,-41.8136945204,-42.5948186955
